"Gene symbol (zebrafish, Ensembl/ZFIN)",Common aliases,"Gene name (Ensembl/ZFIN, authoritative)",Gene name (plain-language label),Ensembl gene ID (D. rerio),ZFIN ID,Chr (GRCz11),Start (GRCz11),End (GRCz11),Strand,Biotype,ID verification note,Ensembl link,ZFIN link,Pathway group,Pathway / family (detail),Trait category,Evidence type,Evidence strength,Verification depth,Source species,Reported locus in source study,Proposed effect on growth,Primary reference (verified),Reference title,DOI,PMID,source_catalog,gene_symbol_norm,evidence_bucket,in_pangasius_catalog,has_verified_marker_variant,method,confidence,catfish_symbol,chrom_acc,start,end,note,cat_chrom,pos_check,locus_key,shared_locus_with
gh2,GH2,growth hormone 2 (salmonid/cyprinid duplicate) [no Ensembl record - name not database-verified],growth hormone 2 (salmonid/cyprinid duplicate),no zebrafish ortholog in Ensembl,,,,,,,No zebrafish ortholog in Ensembl - gene retained for its relevance in other teleosts; no coordinates available,,,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Growth rate; body weight,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Salmo salar; Oncorhynchus mykiss; Cyprinus carpio,,Duplicated GH paralogue retained after salmonid/cyprinid WGD; expression correlates with growth rate,Triantaphyllopoulos KA et al. (2020) Reviews in Aquaculture 12:1637-1662,Factors influencing GH and IGF-I gene expression on growth in teleost fish: how can aquaculture industry benefit?,10.1111/raq.12402,,teleost,gh2,B,False,False,blast_ortholog_cross_species,medium,gh1,NC_069738.1,4924032.0,4926740.0,"BLAST hit protein XP_026798214.1, 53.8% identity. cross-species BLAST via Nile tilapia growth hormone (gh1) ortholog, since zebrafish lacks a gh2 paralog",chr29,ok,chr29:4924032-4926740,gh1
ghra,"GHR1, GHR-I",growth hormone receptor a,growth hormone receptor a,ENSDARG00000054771,ZDB-GENE-070509-1,8,31465222.0,31606514.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Body weight; growth rate,Pathway core; GWAS/QTL; Expression,B - verified review / pathway reference only,Second-order check: Pangasianodon hypophthalmus removed from the species list - no verified striped catfish ghra/GHR1 growth study was found.,Oreochromis niloticus; Sparus aurata; Danio rerio,,Peripheral GH receptor transducing GH signal to IGF1 production in liver and muscle,Perez-Sanchez J et al. (2018) Frontiers in Endocrinology 9:687,Somatotropic axis regulation unravels the differential effects of nutritional and environmental factors in growth performance of marine farmed fishes,10.3389/fendo.2018.00687,30538673,teleost,ghra,B,False,False,blast_ortholog,medium,ghrb,NC_069724.1,12606552.0,12625811.0,"BLAST ortholog (protein XP_026797032.2); top-bitscore hit rejected as non-orthologous, semantic name match used instead",chr15,ok,chr15:12606552-12625811,ghrb
ghrb,"GHR2, GHR-II, GHRb",growth hormone receptor b,growth hormone receptor b,ENSDARG00000007671,ZDB-GENE-071119-4,21,20742876.0,20765338.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Body length; body height; body weight (tilapia),Pathway core; GWAS/QTL; Expression,A - named in a verified primary teleost study,"Second-order check: source paper text read and the gene, trait, locus and effect size below confirmed against it (4 Sep 2026)",Oreochromis niloticus; Pangasianodon hypophthalmus; Sparus aurata,LG7 (O. niloticus); 3'UTR SNPs (P. hypophthalmus),"Peripheral GH receptor. In Nile tilapia GHR2 on LG7 explains 13.1% of the phenotypic variance in body weight - note the study's MAJOR growth QTL is the sex-determining locus on LG1 (64.9-71.7% of variance), not GHR2. In striped catfish, five 3'UTR SNPs genotyped in 307 fish were associated with body length, body height, total length and caudal peduncle dimensions; the study found NO significant difference in body weight between diplotypes.",Liu F et al. (2014) Scientific Reports 4:7256; Jiang LS et al. (2022) Fishes 7:230,"A genome scan revealed significant associations of growth traits with a major QTL and GHR2 in tilapia | Novel SNPs in the 3'UTR region of GHRb gene associated with growth traits in striped catfish (Pangasianodon hypophthalmus), a valuable aquaculture species",10.1038/srep07256; 10.3390/fishes7050230,25435025,teleost,ghrb,A,True,True,direct_symbol_match,high,ghrb,NC_069724.1,12606552.0,12625811.0,,chr15,ok,chr15:12606552-12625811,ghra
ghrh,GHRH; ghrha,growth hormone releasing hormone,growth hormone releasing hormone a,ENSDARG00000069481,ZDB-GENE-070426-1,11,15345654.0,15435495.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Growth rate,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oncorhynchus mykiss,,Hypothalamic releasing factor; stimulates pituitary GH secretion,Canosa LF et al. (2007) General and Comparative Endocrinology 151:1-26,Neuroendocrine control of growth hormone in fish,10.1016/j.ygcen.2006.12.010,,teleost,ghrh,B,False,False,direct_symbol_match,high,ghrh,NC_069729.1,18402983.0,18410561.0,,chr20,ok,chr20:18402983-18410561,
ghrhra,GHRHR; ghrhr,growth hormone releasing hormone receptor a,growth hormone releasing hormone receptor,ENSDARG00000104961,ZDB-GENE-050315-2,2,50906097.0,50966124.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Somatotropic (GH/IGF) axis,Growth rate,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Oreochromis niloticus,,Receptor mediating GHRH stimulation of somatotropes,Canosa LF et al. (2007) General and Comparative Endocrinology 151:1-26,Neuroendocrine control of growth hormone in fish,10.1016/j.ygcen.2006.12.010,,teleost,ghrhra,B,False,False,direct_symbol_match,high,ghrhra,NC_069730.1,17114900.0,17130641.0,,chr21,ok,chr21:17114900-17130641,
ghrl,"GHRL, ghrelin",ghrelin/obestatin prepropeptide,ghrelin and obestatin prepropeptide,ENSDARG00000054239,ZDB-GENE-070622-2,6,40437987.0,40439615.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Appetite / GH secretagogue,Feed intake; growth rate,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Carassius auratus; Danio rerio,,"Orexigenic peptide; stimulates GH release and feed intake, driving growth",Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,ghrl,B,False,False,blast_ortholog,medium,LOC113545859,NC_069711.1,3065387.0,3067440.0,BLAST ortholog (protein XP_053088136.1),chr2,ok,chr2:3065387-3067440,
ghsrb,GHSR,growth hormone secretagogue receptor b,growth hormone secretagogue receptor b,ENSDARG00000057117,ZDB-GENE-090327-1,24,26742226.0,26746179.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Appetite / GH secretagogue,Feed intake; growth rate,Pathway core,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Carassius auratus,,Ghrelin receptor; mediates orexigenic and GH-releasing actions,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,ghsrb,B,False,False,direct_symbol_match,high,ghsrb,NC_069731.1,20745819.0,20749493.0,,chr22,ok,chr22:20745819-20749493,
gnrh3,GNRH3,gonadotropin-releasing hormone 3,gonadotropin releasing hormone 3,ENSDARG00000056214,ZDB-GENE-030724-4,17,20204122.0,20207376.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Life-history, sex & maturation",Reproductive axis,Maturation-linked size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,"Drives maturation, diverting energy from somatic growth",No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,gnrh3,C,False,False,unresolved,none,,,,,short neuropeptide precursor; no significant BLAST hit against catfish RefSeq proteome,,unresolved,:-1--1,
grb10a,"GRB10, GRBP",growth factor receptor-bound protein 10a,growth factor receptor-bound protein 10a,ENSDARG00000002013,ZDB-GENE-040822-32,19,23136170.0,23249822.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,GH-IGF somatotropic axis,Insulin/IGF signalling,Harvest body weight (differential expression),Expression,"B - verified primary study, supporting evidence",Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Evidence type corrected from GWAS/QTL to Expression: the study performed no association test.,Labeo rohita; Danio rerio,"chr16:29,581,464 (T/C, upstream variant; L. rohita)","Adaptor that negatively regulates INSR/IGF1R; imprinted growth suppressor in mammals. An upstream cSNP at chr16:29,581,464 sits in a differentially expressed transcript. NOTE: the rohu study is an mRNA-seq differential-expression study with coding-SNP discovery inside differentially expressed transcripts. It ran NO genome-wide association test - the authors recommend these genes for future SNP-array construction and GWAS. These variants are candidates, not validated marker-trait associations.",Nandanpawar P et al. (2023) Frontiers in Genetics 14:1153911,"Identification of differentially expressed genes and SNPs linked to harvest body weight of genetically improved rohu carp, Labeo rohita",10.3389/fgene.2023.1153911,37359361,teleost,grb10a,B,False,False,direct_symbol_match,high,grb10a,NC_069738.1,11938574.0,11988508.0,,chr29,ok,chr29:11938574-11988508,
gstp1.2,GSTP1; gstp1,glutathione S-transferase pi 1.2,glutathione S-transferase pi 1,ENSDARG00000104068,ZDB-GENE-020806-4,14,3507326.0,3514055.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Detoxification,Body weight,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oncorhynchus mykiss; Danio rerio,Omy14,Oxidative stress defence within growth-associated window,Ali A et al. (2020) BMC Genomics 21:209,Genome-wide identification of loci associated with growth in rainbow trout,10.1186/s12864-020-6617-x,32138655,teleost,gstp1.2,A,False,False,blast_ortholog,high,LOC113530137,NC_069718.1,8544170.0,8549730.0,BLAST ortholog (protein XP_026775715.1),chr9,ok,chr9:8544170-8549730,
hcrt,"HCRT, orexin",hypocretin (orexin) neuropeptide,hypocretin neuropeptide precursor,ENSDARG00000070932,ZDB-GENE-040324-1,3,17537352.0,17541448.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Appetite & energy balance,Appetite / energy balance,Feed intake,Pathway core; Expression,B - verified review / pathway reference only,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Danio rerio; Carassius auratus,,Orexigenic hypothalamic peptide linking arousal and feeding,Volkoff H (2016) Frontiers in Neuroscience 10:540; Ronnestad I et al. (2017) Frontiers in Endocrinology 8:73,The neuroendocrine regulation of food intake in fish: a review of current knowledge | Appetite-controlling endocrine systems in teleosts,10.3389/fnins.2016.00540; 10.3389/fendo.2017.00073,28458653,teleost,hcrt,B,False,False,direct_symbol_match,high,hcrt,NC_069722.1,6566818.0,6572651.0,,chr13,ok,chr13:6566818-6572651,
heg1,HEG1,heart development protein with EGF-like domains 1,heart development protein with EGF like domains 1,ENSDARG00000018441,ZDB-GENE-040714-1,9,38684871.0,38707510.0,+,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Skeletal, ECM & body shape",ECM / muscle,Fillet yield,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,"LG16; LG16, intronic",Intronic lead SNP for fillet yield; associated with human skeletal muscle growth and lean mass,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,heg1,A,False,False,direct_symbol_match,high,heg1,NC_069714.1,21710565.0,21722055.0,,chr5,ok,chr5:21710565-21722055,
hgfa,HGF,hepatocyte growth factor a,hepatocyte growth factor a,ENSDARG00000045544,ZDB-GENE-041014-2,4,19710657.0,19742303.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Other growth signalling & trafficking,Growth factor,Muscle regeneration,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Activates satellite cells and myoblast migration,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,hgfa,C,False,False,blast_ortholog,high,hgfb,NC_069715.1,8534635.0,8560975.0,BLAST ortholog (protein XP_026783590.1),chr6,ok,chr6:8534635-8560975,
hmga2,HMGA2,high mobility group AT-hook 2,high mobility group AT-hook 2,ENSDARG00000069912,ZDB-GENE-030131-3148,4,12819272.0,12862087.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,"Cell cycle, chromatin & transcription",Transcription / body size,Body size,Pathway core,"C - pathway annotation only, no primary study cited",No primary study cited,Danio rerio,,Conserved vertebrate body-size gene; loss causes pygmy phenotype in mammals,No primary study cited - canonical pathway member (Ensembl/ZFIN gene record),,,,teleost,hmga2,C,False,False,direct_symbol_match,high,hmga2,NC_069727.1,18251873.0,18281694.0,,chr18,ok,chr18:18251873-18281694,
hsd17b4,HSD17B4,hydroxysteroid (17-beta) dehydrogenase 4,hydroxysteroid 17-beta dehydrogenase 4,ENSDARG00000101239,ZDB-GENE-040421-1,8,41688.0,65189.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Lipid & energy metabolism,Steroid / lipid metabolism,Body weight; multiple body traits,GWAS/QTL,A - named in a verified primary teleost study,Reference metadata verified in PubMed/Crossref; gene-level claim not re-checked against the full text,Oreochromis niloticus; Danio rerio,LG12,Possible regulator of muscle development; high expression during early myogenesis,Yoshida GM et al. (2021) BMC Genomics 22:57,Multi-trait GWAS using imputed high-density genotypes from whole-genome sequencing identifies genes associated with body traits in Nile tilapia,10.1186/s12864-020-07341-z,33451291,teleost,hsd17b4,A,False,False,direct_symbol_match,high,hsd17b4,NC_069717.1,14828090.0,14847387.0,,chr8,ok,chr8:14828090-14847387,
hspb1,HSPB1,"heat shock protein, alpha-crystallin-related, 1",heat shock protein family B (small) member 1,ENSDARG00000041065,ZDB-GENE-030326-4,5,3568016.0,3584815.0,-,protein_coding,"Ensembl ID, GRCz11 chr/start/end/strand re-verified against Ensembl REST on 2026-09-04",open,open,Thyroid & stress axis,Stress / muscle protection,Body weight,GWAS/QTL; Expression,A - named in a verified primary teleost study,Third-order check (rev 4): the source paper full text was retrieved and this row was compared against the paper's own gene table. Confirmed: one of the three SNPs validated by marker-trait analysis in 340 fish.,Micropterus salmoides; Danio rerio,,Small heat shock protein protecting muscle; growth-associated SNP in largemouth bass. One of only three SNPs (from 17 genotyped across 10 candidate genes) that showed a significant marker-trait association in 340 Youlu No. 1 largemouth bass.,Li S et al. (2017) Genetica 145:175-187,Transcriptome assembly and identification of genes and SNPs associated with growth traits in largemouth bass (Micropterus salmoides),10.1007/s10709-017-9956-z,28204905,teleost,hspb1,A,False,False,direct_symbol_match,high,hspb1,NC_069736.1,6847432.0,6853787.0,,chr27,ok,chr27:6847432-6853787,
